t,u,v
58.9,-1.82026,0.626878
59,-1.81461,0.61399
59.1,-1.80897,0.60123
59.2,-1.80333,0.588596
59.3,-1.7977,0.576087
59.4,-1.79207,0.563703
59.5,-1.78645,0.551443
59.6,-1.78083,0.539306
59.7,-1.77522,0.527291
59.8,-1.76961,0.515398
59.9,-1.76401,0.503625
60,-1.75841,0.491972
60.1,-1.75282,0.480438
60.2,-1.74723,0.469021
60.3,-1.74165,0.457723
60.4,-1.73607,0.446541
60.5,-1.7305,0.435474
60.6,-1.72493,0.424523
60.7,-1.71936,0.413686
60.8,-1.7138,0.402962
60.9,-1.70824,0.392351
61,-1.70269,0.381852
61.1,-1.69714,0.371465
61.2,-1.69159,0.361187
61.3,-1.68605,0.35102
61.4,-1.68052,0.340962
61.5,-1.67498,0.331011
61.6,-1.66945,0.321169
61.7,-1.66392,0.311433
61.8,-1.6584,0.301804
61.9,-1.65288,0.29228
62,-1.64736,0.28286
62.1,-1.64185,0.273545
62.2,-1.63634,0.264333
62.3,-1.63083,0.255224
62.4,-1.62532,0.246217
62.5,-1.61982,0.237311
62.6,-1.61432,0.228506
62.7,-1.60882,0.219801
62.8,-1.60333,0.211195
62.9,-1.59783,0.202688
63,-1.59234,0.194279
63.1,-1.58685,0.185967
63.2,-1.58136,0.177752
63.3,-1.57588,0.169634
63.4,-1.57039,0.161611
63.5,-1.56491,0.153683
63.6,-1.55943,0.145849
63.7,-1.55395,0.138108
63.8,-1.54847,0.130461
63.9,-1.54299,0.122907
64,-1.53751,0.115444
64.1,-1.53204,0.108072
64.2,-1.52656,0.100791
64.3,-1.52108,0.0936008
64.4,-1.51561,0.0864996
64.5,-1.51013,0.0794874
64.6,-1.50465,0.0725637
64.7,-1.49918,0.0657278
64.8,-1.4937,0.0589791
64.9,-1.48822,0.0523172
65,-1.48274,0.0457415
65.1,-1.47726,0.0392515
65.2,-1.47178,0.0328465
65.3,-1.4663,0.0265261
65.4,-1.46082,0.0202898
65.5,-1.45533,0.014137
65.6,-1.44984,0.00806727
65.7,-1.44435,0.00208001
65.8,-1.43886,-0.00382526
65.9,-1.43336,-0.00964903
66,-1.42787,-0.0153918
66.1,-1.42236,-0.0210541
66.2,-1.41686,-0.0266363
66.3,-1.41135,-0.032139
66.4,-1.40584,-0.0375627
66.5,-1.40032,-0.0429078
66.6,-1.3948,-0.0481747
66.7,-1.38928,-0.053364
66.8,-1.38375,-0.0584761
66.9,-1.37821,-0.0635114
67,-1.37267,-0.0684704
67.1,-1.36712,-0.0733535
67.2,-1.36157,-0.0781613
67.3,-1.35601,-0.082894
67.4,-1.35045,-0.0875521
67.5,-1.34487,-0.0921361
67.6,-1.33929,-0.0966463
67.7,-1.3337,-0.101083
67.8,-1.32811,-0.105447
67.9,-1.3225,-0.109739
68,-1.31689,-0.113958
68.1,-1.31126,-0.118105
68.2,-1.30563,-0.122181
68.3,-1.29998,-0.126186
68.4,-1.29433,-0.130121
68.5,-1.28866,-0.133985
68.6,-1.28299,-0.137779
68.7,-1.2773,-0.141504
68.8,-1.27159,-0.145159
68.9,-1.26588,-0.148746
69,-1.26014,-0.152264
69.1,-1.2544,-0.155713
69.2,-1.24864,-0.159095
69.3,-1.24286,-0.162409
69.4,-1.23707,-0.165656
69.5,-1.23126,-0.168836
69.6,-1.22544,-0.171949
69.7,-1.21959,-0.174995
69.8,-1.21372,-0.177975
69.9,-1.20784,-0.18089
70,-1.20193,-0.183738
70.1,-1.196,-0.186522
70.2,-1.19005,-0.18924
70.3,-1.18408,-0.191893
70.4,-1.17808,-0.194481
70.5,-1.17206,-0.197004
70.6,-1.166,-0.199464
70.7,-1.15992,-0.201859
70.8,-1.15382,-0.20419
70.9,-1.14768,-0.206457
71,-1.14151,-0.208661
71.1,-1.1353,-0.210801
71.2,-1.12907,-0.212878
71.3,-1.12279,-0.214892
71.4,-1.11648,-0.216842
71.5,-1.11013,-0.218729
71.6,-1.10374,-0.220553
71.7,-1.09731,-0.222315
71.8,-1.09083,-0.224013
71.9,-1.08431,-0.225648
72,-1.07773,-0.227221
72.1,-1.07111,-0.228731
72.2,-1.06443,-0.230178
72.3,-1.0577,-0.231562
72.4,-1.05091,-0.232883
72.5,-1.04406,-0.234141
72.6,-1.03715,-0.235336
72.7,-1.03016,-0.236467
72.8,-1.02311,-0.237536
72.9,-1.01599,-0.23854
73,-1.00878,-0.239481
73.1,-1.0015,-0.240357
73.2,-0.994129,-0.241169
73.3,-0.986669,-0.241917
73.4,-0.979114,-0.242599
73.5,-0.97146,-0.243216
73.6,-0.963701,-0.243767
73.7,-0.95583,-0.244252
73.8,-0.947843,-0.244671
73.9,-0.939732,-0.245021
